id,word,wordtype,wordmeaning
3763,profit centre,noun, a person or department which is considered separately for the purposes of calculating a profit
3764,program,noun,"a set of instructions for a computer  

3765,programmed learning,noun," a learning method based on self-instructional materials that are designed to allow pupils to progress at their own pace, step by step, through structured sequences"
3766,programmer,noun,a person who designs and writes instructions for a computer
3767,programming engeenering,noun,an engineer in charge of programming a computer system
3768,progress,noun, movement of work forward 
3769,progress card,noun, a card or sheet on which details of a job's progress can be kept
3770,progress chaser,noun, a person whose job is to check that work is being carried out on schedule or that orders are being fulfilled on time
3771,progressive proofs,noun,"a set of colour proofs from process colour printing, showing first one colour, then with the second added, and so on until the whole colour illustration is shown, presented in this way so that the publisher and printer can check each colour"
3772,progress report,noun,a document that describes what progress has been made
3773,project,noun, 1. a detailed study of a subject written up by a student 2. a planned course of action 
3774,project analysis,noun, examination of all the costs or problems of a project before work on it is started
3775,project sales,noun, a forecast of sales
3776,projection,noun,a forecast of a future amount from a set of data
3777,project manager,noun,"the person in charge of the scheduling, resources and processes of a project"
3778,promote,verb,1. to advance somebody to a higher position within an organisation 2. to encourage something to develop or succeed
3779,promotion,noun,1. the act of upgrading somebody to a higher position 2. a marketing activity to persuade people to buy goods or use a service 
3780,promotional,adjective,used in an advertising campaign
3781,promotional book,noun,"US a cheap, highly illustrated book, similar to a coffee table book, but sold at a bargain price"
3782,promotional budget,noun,the forecast cost of promoting a new product
3783,promotional material,noun, items such as posters and carrier bags which are used to publicise a book
3784,promotion copies,noun,free copies of an unpublished book given to salespeople and the publicity department to use in preselling the book
3785,prompt,noun, a symbol on a computer screen to remind the user to do something
3786,proof,noun," 1. facts or evidence to show that something is true 2. a sample printed page made from type, for approval before mass printing 

 verb 1. to make proofs of a text. 2. same as proofread"
3787,proof copy,noun,"page proofs of a book, bound in a paper cover, used for publicity purposes"
3788,proof correction marks,noun," marks used to indicate changes on proofs such as deletions, additions or more space"
3789,proof corrections,noun," changes made to the text, layout or illustrations on proofs"
3790,proofer,noun," a machine which produces proofs, as opposed to finished printed pages "
